neg,neu,pos,compound,text
0.06,0.743,0.197,0.7955,"I know you never answer anything but bro you are a remarkable person, i don't like spending productive time on youtube, but you are someone everybody should invest time on, thanks for your videos, you are gonna be big."
0.0,1.0,0.0,0.0,Randomly come across this video and actually may start this now 😊
0.0,0.792,0.208,0.6124,Please could you set English subtitles on your videos? Im spanish and that will help me to understand all you speak
0.0,0.854,0.146,0.504,"Hey, I was just wondering, did you have a part-time job during school? Do you think it is a good idea or not?"
0.0,0.365,0.635,0.9313,Great summary thanks John .. I love your channel and I appreciate your efforts.
0.0,1.0,0.0,0.0,"I started reading mans search for meaning, but I never finished it! I’ll get back on that ASAP."
0.423,0.577,0.0,-0.296,11:00 no. One book
0.041,0.671,0.287,0.9616,"John Fish you should read Marie Lu's Legend trilogy, it is such a great read(for me anyway). It is young adult and it might not hold any life lessons, but it is an AMAZING trilogy, my friend almost cried when she finished. Please try and see if you find the time to read it. Thanks!!"
0.0,0.351,0.649,0.5707,man.....you're an inspiration !
0.018,0.672,0.31,0.9827,Hey John. Honestly I have no idea how I got into your video a book a week but man...such an inspiration.  I love books and seeing these videos just motivate us to even read more.  Thanks for sharing your list and impacting the world.  Is there a book you have come and forth many times during long period of time until you finally finish it? Would be really interesting to have a chat with you. Chèers
0.0,0.68,0.32,0.765,"I think you would like Zen and the art of motorcycle maintenance, a great book and very deep"
0.0,0.968,0.032,0.1027,"i got into books last year and the librarian recommended me man's search for meaning , for a second i thought he's just trying to sell the book to me but after checking all of those reviews i can't wait to read it after finishing the current book."
0.0,0.76,0.24,0.5849,Suggestion: Message to the Blackman in America by The Most Honorable Elijah Muhammad.
0.0,0.732,0.268,0.5106,Why are canadians taking over the social / intellectual / spiritual world ?
0.0,0.75,0.25,0.4588,I suggest reading 12 Rules for Life by Jordan Peterson. :)
0.0,1.0,0.0,0.0,"Kollade precis på din ""Day In a Life Of A Harvard Student"" video, svinkul att du lär dig svenska. Det är verkligen inte det enklaste om man inte växt upp med det."
0.025,0.87,0.105,0.6977,"Could you PLEASE make a video about the use of coffee/ caffeine (or about energy stimulants in general) during university? I think this is very important because once you develop caffeine dependency, you obviously also don't sleep well and you get into a cycle of unproductivity. Do you ever drink coffee and if you do, how do you manage to fall asleep so fast and get 8/9 hours of sleep?"
0.367,0.633,0.0,-0.4404,John Fish where are you :(
0.249,0.416,0.335,0.3034,business wars and inside jaws are GREAT podcasts
0.172,0.724,0.105,-0.2103,how do you find the books you want to read :O
0.0,1.0,0.0,0.0,I'm reading 4 books of the lists.It truely works.📚
0.454,0.546,0.0,-0.3595,Me no speaky engrish!
0.0,0.547,0.453,0.7163,"Great content bro , keep it going !!!"
0.0,0.822,0.178,0.0772,I want your notebook right now come onnnn
0.09,0.406,0.504,0.8805,I love how you summarized what stuck with you about each book! Super helpful
0.0,0.244,0.756,0.4754,Very inspiring ❤
0.259,0.741,0.0,-0.7378,He would have KILLED the IOC exam (all of my IB literature people will understand lol)
0.0,1.0,0.0,0.0,Handsomeeeeee
0.114,0.886,0.0,-0.4767,"What is the second part of ""man´s searching for meaning"" about? You only mentioned that there exist two, but only talked about the first :/"
0.065,0.799,0.136,0.3323,"I completely agree mans search for meaning is the number one book it’s so fucking important, I was reading it while i had massive mental health issues and it completely changed my perspective on what suffering means and what you can make out of it"
0.423,0.577,0.0,-0.296,I ain’t reading no poetry
0.0,1.0,0.0,0.0,hey what time do you wake up in the morning?
0.142,0.679,0.179,0.1531,"I lost about $50 and found a couple books on my doorstep. Thanks, Mr. Fish."
0.0,0.783,0.217,0.7269,If your favourite book was “Man’s search for meaning” I’d recommend reading St Claude de la Colombière’s own book “Trustful Surrender to Divine Providence”
0.041,0.843,0.116,0.5859,"reading - A peoples history of the united states- by Howard Zinn.  Gonna jump over to Taking the risk out of democracy by Alex Carey, once done, sometime this month. Only read on the train going home from work. Read newspapers on the train going to work. cheers."
0.078,0.746,0.176,0.9689,"My top 3 for June were: 1) Hillbilly Elegy by JD Vance- this is memoire of growing up dirt poor in Appalachia and then going to Yale Law School. Aside from his incredible journey it explores  poverty in ""white America"" or what folks sometimes refer to as communities of ""rednecks"". 2)The Road to Character by David Brooks. Talks about the difference between resumé virtues (which we live for) and eulogy virtues (which we aspire to but rarely make any progress on). The author gives a lot of examples from history and how our values as a society have changed so much overtime. 3) A World of Three Zeros by Muhammad Yunus Noble Peace Prize Winner who developed the idea of microcredits which have helped millions of people get out of poverty, or at least improve their life and their opportunities. Here he discussed how capitalism does not work anymore, and how we have to look at new models in society that are more inclusive and don't concentrate wealth, don't contaminate the environment etc..Happy reading. Im about to start Shoe Dog which you recommended!"
0.0,0.785,0.215,0.6588,Hey John! Would be intersting to hear whether you make notes while reading?Thanks for the awesome content.
0.0,1.0,0.0,0.0,why arent you uploading stuff anymore? THE INTERNET NEEEEEEEEEEEEDSSS YOUUUUUU !!
0.0,0.814,0.186,0.6249,this is the first time i subscribed and activated notification a channel at the same time. great job mate. keep going
0.0,0.34,0.66,0.8659,Please make more videos like this loved it
0.0,0.582,0.418,0.8955,This was such a great video please update us again because i got some great book recommendations out of this!
0.0,1.0,0.0,0.0,maleeeeq
0.0,1.0,0.0,0.0,What thoughts do you have about thus spoke zarathustra? Im 17 and contemplating on reading it but idk..
0.0,1.0,0.0,0.0,I am starting reading one book in a week
0.062,0.863,0.075,0.128,"I paused the video just before the #1 book, and tried to guess.. the last book I read (I finished the reading 4 days ago): man's search for meaning. when you show the book I literally screamed lol"
0.0,0.801,0.199,0.5374,"Hey John,  I believe this  kind of content is what makes you original. Keep doing it!!!!"
0.0,0.667,0.333,0.3612,Thank you John for doing this.
0.0,0.86,0.14,0.351,"Hello,John Fish!Tell for casual people.What's difference between Harvard and common university?Tell me,how much your university higher?"
0.067,0.621,0.312,0.8341,"Damn! My top 2 for this year are also your top 2, although I thought flow was more impactful. I will definitely check out the rest of your list. Thanks for sharing this video"
0.0,1.0,0.0,0.0,Check out The Alchemist by Paulo Coehlo
0.0,0.863,0.137,0.5423,"The Monk who sold his Ferrrari is tremendously overrated, I wonder what all this people praising it on the Internet got in their brains."
0.0,1.0,0.0,0.0,How did you learn to code?
0.0,0.668,0.332,0.6666,helo john fish . you so horny guy. i love to meake
0.061,0.801,0.138,0.4186,"Hey John! Could you also make a video to share how u read books? Caz I find though I would like to read,it seems a little difficult for me to really absorb the knowledge in those books.😊THX."
0.0,0.781,0.219,0.6369,"Hey bro, love your work. It regards to your running, have you ever had shin splints?"
0.0,0.685,0.315,0.9298,"Came across your channel just a week ago, and after watching your videos i’d say you’re such an inspiration. This video motivated me to start reading more often!! Keep making these videos they’re amazing :)"
0.0,1.0,0.0,0.0,Sponsored video
0.14,0.86,0.0,-0.4753,Hi john! I wonder did you buy all those books or you borrow it from somewhere? (such a lame question to ask)
0.04,0.717,0.243,0.9801,"great video bro; it was really great to hear just the quick, honest gist of the book instead of a 4 hour long video going super into detail. Love your videos in general; you really put in the effort and care. My only question is: if you're spending so much time reading and running a YouTube channel, does it ever get lonely? And if so how do you deal with it? This is relevant to me personally since I have a lot of work and it's difficult to manage a healthy work-life balance. Edit: Just finished my first year of college too so cheers mate!"
0.0,0.435,0.565,0.5994,simply loved this list
0.0,1.0,0.0,0.0,What high school did you went to?
0.0,1.0,0.0,0.0,John Fish Book Club vs. Pewdiepie Book Club
0.0,0.704,0.296,0.7082,You're very inspiring. I've been looking for someone like you on youTube for ages! Quality content
0.0,0.519,0.481,0.5719,You're perfect John  *Sigh.. 😪*
0.0,0.805,0.195,0.8844,"I also really enjoyed Sapiens! My only gripe was I felt like the author used some parts of the book to promote his personal thoughts on things like veganism, modern religion, etc. I understand his perspective and his use of evidence, but I would have appreciated some concessions, especially in an otherwise non-fiction book. Will you read his next book?"
0.0,0.5,0.5,0.7178,Really helpful 🎗️ keep up the good work
0.0,1.0,0.0,0.0,Can you do a what's on my iphone
0.038,0.683,0.279,0.9183,"Great video! I think it’s really a good way to reflect on the books on the basis of their impact, since we often forget what we read after a certain period of time. Gonna check those books out. Love your video, bro."
0.0,1.0,0.0,0.0,How did you pick what books you wanted to read?
0.0,0.0,1.0,0.6369,I love u
0.0,0.736,0.264,0.5106,anyone know if John is going to restock his growth book planner on amazon?
0.185,0.616,0.199,0.0516,How do you find good books to read? I always find trouble.
0.0,0.0,0.0,0.0,💕
0.0,0.826,0.174,0.5321,Thanks again for sharing !! I’m on a similar goal but only 40 books this year.Taking a few gems and adding them to my list
0.0,1.0,0.0,0.0,i've already put 5 books of ur list! Thanx for the recommendations! Very helpful!:)
0.211,0.789,0.0,-0.1531,Where are you? I miss your videos already 😂
0.0,0.119,0.881,0.75,Looks like a fun challenge!
0.0,0.839,0.161,0.4376,"Oh hey, I actually started reading Sapiens today! Really cool how it showed up on the list."
0.0,0.723,0.277,0.7579,I will suggest you to read ''fourty rules of love'' its anamazing piece of writing. I sure you will love it
0.0,0.506,0.494,0.5994,loving your content my dude
0.0,1.0,0.0,0.0,ARE YOU GOING TO BE RELEASING YOUR PLANNER??
0.0,1.0,0.0,0.0,"Well,my mother refuses to get me more books,so I mostly read on Wattpad..good experience 😋"
0.0,0.368,0.632,0.7832,You inspire me so much <3
0.0,0.79,0.21,0.6727,"I have started reading a book per week, this week i'm reading ""little women""I really love this new habit! ^^"
0.0,1.0,0.0,0.0,you should read Rumi!
0.0,1.0,0.0,0.0,Do you have a goodreads account?
0.0,0.785,0.215,0.6588,Great video! I have only read Flow and Outliers. I really wanna read Sapiens and Man's Search for Meaning.
0.0,1.0,0.0,0.0,How do you find which book you're about to start reading? What is your source?
0.0,1.0,0.0,0.0,"John, why don’t you add milk in your tea?"
0.0,1.0,0.0,0.0,What are the podcasts that you listen to?
0.0,0.853,0.147,0.3769,Hey John! Wanted to know when you’re going to have you’re notebook available on Amazon again!!
0.0,0.845,0.155,0.9118,"you are one of the greatest minds I have ever witnessed. You are the future Elon Musk (hopefully with a bit more humanity) / Bill Gates, Not that you could ever be compared. Keep up all of the outstanding work you are doing every day, I have never seen anyone as productive as you. And you are my (as a 18 year old about to start comp science in uni) inspiration."
0.0,0.711,0.289,0.7263,"based on your critique, I think I'm gonna read when by Daniel pink! thanks for the recommendation <3"
0.0,1.0,0.0,0.0,Do you write a script before you turn on the camera or is this how you speak?
0.0,1.0,0.0,0.0,Can you introduce some app during your study and reading ~🕊
0.0,0.743,0.257,0.9806,"I've actually being doing this as a challenge for a few weeks and just got really excited at having discovered your channel. I've been documenting my own journey- not in this manner, though I love hearing about your personal experience- and I think you might have inspired me to upload that starting next month. I've always been a reader and I thought it might be fun to see if this is as influential and affecting for me as it has been for others.Thanks for spreading the love of reading, I hope you inspire some non-readers with your content."
0.0,0.615,0.385,0.3612,thank you for your work！～～
0.0,0.933,0.067,0.0772,Do you have any project suggestions for a computer science student? I'm trying to decide what I want to code/build next
0.0,0.788,0.212,0.9736,Hey! I’ve been watching your videos for couple of weeks and I must admit they are very inspirational. I have started my first year too and I face similar problems/conclusions while studying like you. And your explanations really help me to get through it! But I wanted to ask you a question about curriculum at studies. Do you have pointed exact books you have to buy or not ? Does teacher during the first class tell you what he expect and show you exact part of material you have to learn ? I’m just curious and would like to compare it to polish conditions :) Thank you for your videos! Cheers
0.0,0.631,0.369,0.9274,Hey John fish I love your videos  and I have just graduated from India .Your vids make me happy n guide me to get better. I also want to read books like you now
0.0,1.0,0.0,0.0,i've never read a book in my life(other than the ones i had to read in school) and i dont know where should i start... anyone got any recommendations?
0.0,0.5,0.5,0.7184,for free audiobooks definitely check out these:freeclassicaudiobooks.comgutenberg.orgbooksshouldbefree.comlibrophile.comlearnoutloud.com podiobooks.comstorynory.comaudiocloset.com
0.0,0.53,0.47,0.8353,Great video! Just added some books to my amazon cart! I recommend Boy Erased
0.0,1.0,0.0,0.0,Say 'SSSSSSSS'
0.138,0.58,0.283,0.4588,i actually stopped the video and read that poem. Its beautiful
0.201,0.51,0.289,0.3818,"""I've never been touched by poetry in that way"" ""honestly i cried a few times..."" Sounds like this book abused you haha"
0.0,1.0,0.0,0.0,I need Flow
0.0,0.841,0.159,0.5267,Read kite runner and the wind of the shadow  i did not read them they have a lot of lovers ❤️
0.048,0.732,0.22,0.8278,"You should check out Nothing To Envy Ordinary Lives In North Korea or China In Ten Words. If you’re looking for self improvement/business I recommend reading The Peaceful Warrior, Zero to One, Originals, Power of Habit, Freakanomics, Stumbling on Happiness, and Predictably Irrational."
0.0,1.0,0.0,0.0,hey john i'm from a country named Guyana in South America and i'm a government contractor and i have some work for u...can u plzzz make contact with me through my e-mail...nioqueley@yahoo.com or markmendez2592@yahoo.com as soon as possible so we can discuss it
0.0,0.579,0.421,0.8402,"My man, fix that white balance on your beautiful face. Great content btw."
0.0,0.84,0.16,0.3939,What materials do you use to make videos? Can you please make a video on it?
0.0,0.739,0.261,0.93,"I’m going to be honest, to gain something deeper out of books, you need to be reading it not listening to it. I suggest getting “How to Read a Book” by Mortimer Adler for people who are interested in getting better at reading and understanding the importance of reading."
0.0,0.465,0.535,0.3182,Please get a haircut
0.0,0.428,0.572,0.9544,"Wow thanks so much for the book list! I really appreciate it. Also great video, keep it up! :)"
0.0,0.196,0.804,0.6249,You awesome 👍
0.045,0.868,0.087,0.177,"Please ... can I make a suggestion?  Get THE book of cognitive biases ... 100 rules of reality ... Universal Principles of Design, Second Edition, also available in mini version.I propose this is the most useful, non-fiction, book on planet Earth because it clarifies and amplifies the underlying distinctions of our cognitive biases. That means it explains, very concisely, how perception works ... and in turn how you learn, how you are influenced, and how you can be happy.Also, 10% Happier is an excellent book.And finally, Getting Things Done ... which is not a 'book' but an introduction to bringing order, removing chaos, from your life."
0.0,0.602,0.398,0.5106,https://soundcloud.com/moffar12 royalty free music for ya
0.0,0.765,0.235,0.8334,"John, do you join college clubs? What types of clubs do you recommend joining to improve yourself? Because I have a variety of clubs in my college, but I can't make up which one that will actually benefit me?"
0.0,0.693,0.307,0.7352,Thank you John for your recommendations. I just ordered four of the books and are so excited!!
0.0,0.802,0.198,0.4939,"Listen to deadmau5's The Veldt, inspired in the book of the same name. https://www.youtube.com/watch?v=iqurYVWg7-g"
0.145,0.555,0.3,0.8065,Keep up the great work! My friend has been suffering from depression. He has watched your videos and they have helped him and he now lives a happy life. Thank you so much!
0.0,0.789,0.211,0.92,Your videos are truly incredible. i really enjoy watching you speak. the way you look into the camera... its like you are staring into my soul. i'm going to turn on my kindle and start reading. if you are ever around toronto i would love to have dinner with you (figured i'd test my luck)
0.0,0.822,0.178,0.9075,"Hi John! Just let you know that I like your channel very much and I actually learned a lot from you! And I have a little note book carrying along with me all the time to capture inspiration quotes and ideas, and you made a lot of them!!! Thank you for sharing!! And I also started to read one book every week! See you in the next video!"
0.0,0.849,0.151,0.6103,"I'm currently doing this too! It's been a challenge to get myself to just read, but now I'm transitioning to a period where wherever I go, I'm reading. I feel like 9-year-old me again!"
0.0,0.8,0.2,0.3612,"""Ready Player One"" -another book that you will not put down."
0.0,1.0,0.0,0.0,You should do a video where you try to speak only Swedish for ten minutes
0.0,0.472,0.528,0.6801,"Thank you, this video is extremely helpful. 😍"
0.0,1.0,0.0,0.0,Can you do how you read the book?
0.0,1.0,0.0,0.0,I need to figure out how you find time to do everything you do.
0.0,0.857,0.143,0.8802,"Hi John, I have a question not relevant to the video, but please answer! I'm a CS student in college (equivalent to senior years of high school in the US, I think) and we have only learnt Python so far, do an intermediate level. What other language should I learn, in regards to usefulness in both education and future work? I know it's a big question.. But thanks if you answer!"
0.0,0.75,0.25,0.6115,I'm really glad you mentioned Sapiens. It's in my Amazon cart and I'm going to buy now
0.0,1.0,0.0,0.0,I quit social media and im reading so much hahah
0.0,0.698,0.302,0.6514,Do you have your Goodread's profile?Edit: I've found it! :D https://www.goodreads.com/user/show/59432938-john-fish
0.0,0.851,0.149,0.4199,Hej John! Are there any swedish books that you felt were impactful and that you would recommend?
0.0,0.775,0.225,0.7506,Your description of the book ‘Flow’ deeply touched me. You’re the reason I’m going to read this book hopefully and for that I am thankful.
0.0,1.0,0.0,0.0,"just got the entire list, Starting now"
0.0,0.306,0.694,0.9423,You're a inspiration. Hope I'll be a good person like you bro love you.
0.0,1.0,0.0,0.0,"Hey John, do you jot down notes/key points about the book you've read (or while reading) or do you just read it?"
0.0,1.0,0.0,0.0,"Have you read The Alchemist? If you have, whats your opinion on it?"
0.0,0.548,0.452,0.7644,I will follow your advice. I admire you a lot. Hugs from Brazil!
0.0,0.549,0.451,0.8118,would love a full video on how you use your growth book!!
0.0,0.793,0.207,0.8796,"Because of John, I've started reading my own one book a week! It's been way easier than I thought to do it and I advise anyone to give it a shot!!! :) really funny that i had some of the same books as john on my list"
0.0,0.896,0.104,0.3811,I have Dan Brown's Origins a couple feet to my right and I have to agree; I was really excited to crack open the thick book but it really did fall flat on its face for me
0.0,0.572,0.428,0.6696,Read: The journey home. You'll love it!
0.0,0.657,0.343,0.2714,Just ordered your top 5!
0.019,0.756,0.225,0.9284,"i really loved this video and found it extremely inspiringbeing a huge book lover myself, i love sharing this passion with others and what really struck me was how you turned reading into a tool to improve who you are everydaythank you so much for sharing these !i also wanted to ask if you have any podcast recommendations because it is a habit that i would really like to get into, but don't really know where to startthank you again john 😊"
0.077,0.714,0.208,0.7777,"My all time favorite nonfiction book is Utopia for Realists by Rutger Bregman, which plays with the idea of a basic income. It is such a thought provoking book! (I would even recommend it to people who have no interest in reading about basic incomes)"
0.0,0.686,0.314,0.8655,Hi John! Check out Long walk to freedom by Nelson Mandela and Becoming a doctor by Melvin Konner. I think you’ll love them.
0.0,0.634,0.366,0.7579,Glad u made mans search for meaning your #1. That book wiill definitely stay in my top 5
0.0,0.43,0.57,0.6486,"Please Start a Podcast,you are epochmakingly intelligent"
0.0,0.768,0.232,0.9805,"Hello John,I've been very inspired by your habit of reading 1 book a week. This last year I've been going from reading nothing outside of school books to reading several books a month. I know thanks to you read/listen to books 2 hours a day. I really admire your mentally, and you really make me enthusiastic to become more effective in school and read more books.I don't know if you are a Goodreads user but if you are would you please consider adding me as a friend, so I can keep track of what books you are reading and what books you've enjoyed reading the most?My Goodreads profile URL is https://www.goodreads.com/jan01 .Best wishes,Jan"
0.173,0.623,0.204,0.0276,I fucking hate this jew.. he's using the low iq self help addicts to grow his channel at an extremely fast pace.... gotta admit ur smart u fucking kike
0.0,0.4,0.6,0.6696,Love your book videos!
0.049,0.746,0.204,0.814,"When I start reading a book, I don't understand what the author is saying about because my vocab is poor, I really wanna read books but I can't. What should I do??Please recommend me something so that I improve my English???"
0.0,1.0,0.0,0.0,Read the beginning of infinity
0.0,1.0,0.0,0.0,think you for  your participation in the books you read and at least moved my feelings
0.0,0.846,0.154,0.5994,"""The world for exapmle. It gets stronger and  it developes and evolves."" ...think about that again please. Book I am currently reading and I am suggesting for you: Ismael - Daniel Quinn"
0.0,0.355,0.645,0.8442,Thank you for sharing those books. Amazing video.
0.0,0.889,0.111,0.0964,Even I took this challenge and till now I have read around 15-20 pages
0.0,1.0,0.0,0.0,Fukin nerds
0.0,0.746,0.254,0.8012,I’m so glad that books is becoming a bit more popular on YouTube...or maybe I just watch more book videos so they are showing up on my recommended a lot 😅
0.0,1.0,0.0,0.0,Is flow basically about agape?
0.0,1.0,0.0,0.0,S ss. S s s s s s s s s s s s
0.0,1.0,0.0,0.0,Hello mt name is meek
0.0,0.87,0.13,0.4588,The power of now by Ekhart Tolle is a life changer 💯In case you haven't added it to your list yet :)
0.0,0.444,0.556,0.3612,Thank you John ❤
0.308,0.58,0.112,-0.6597,What is wrong with your tongue? Its like you are talking through your teeth wtf dude
0.438,0.562,0.0,-0.5994,The war of art by pressfield
0.0,0.799,0.201,0.7783,"One thing I've learned in life is that wisdom can only be transferred halfway. Knowledge and information are different things. To acquire wisdom, you have to experience things yourself."
0.189,0.811,0.0,-0.1027,Do you prefer ebooks or hard copies?
0.0,0.417,0.583,0.6369,i always love book reviews
0.0,1.0,0.0,0.0,"12 Rules for Life by Jordan Peterson is incredible. He's a clinical psychologist who also taught at Harvard..wrote a book listing 12 rules to follow for a more profound living experience. He's changed my life, check it out!"
0.104,0.427,0.469,0.8261,"I enjoy your videos so much. Please don’t stop, you are doing a great job."
0.0,0.775,0.225,0.8722,"What are your thoughts on fiction books? Are you considering introducing them to your challenge?I really enjoy reading and I feel like I gain more when I read from diverse genres. I think ""inspirational"" books are good in short bursts, but I'd feel burnt out if I solely focused on them."
0.0,0.807,0.193,0.5093,"Jhon I can't find the song on your outro, even with the name of the song and the artist! Plz help."
0.0,1.0,0.0,0.0,How did you read flow in one week? How much time do you spend on reading books everyday?
0.0,1.0,0.0,0.0,this guy stole my heart 😍
0.0,0.688,0.312,0.7471,What are your favorite YouTube channels? Do you follow any that are particularly interesting or enriching?
0.153,0.847,0.0,-0.5423,im having hard time watching your video due to your lisping maybe you should go to orthodontist and fix it i knew something wrong with your previous treatment
0.0,0.675,0.325,0.8264,Yeah sapians!! One of my favorite books and could barely put it down. was thrilled to see it on the list
0.0,0.869,0.131,0.6808,"First movie from this series was actually the first movie I've watched on your channel and already liked you. I see most of your books are guides or popular science literature, are you going to read some more novels maybe?"
0.0,0.67,0.33,0.4497,I don't know why but he's soooo cool
0.0,1.0,0.0,0.0,Simply amazing!!!!
0.017,0.815,0.169,0.9387,"I think you'd really enjoy the Malcolm X autobiography.  I think it's a book most people know exists, but I rarely hear people talk about it or give it the praise I think it deserves.  To me, simply the story of his growth as a human being is extremely indicative of the nature of all humans.  I think if everyone were to read that book with an open mind, the ability to change your opinions or feelings towards a certain situation would seem a lot more viable, even if you start with a heavy bias."
